"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1589,"2020-03-01 00:00:03.6400","2020-03-01 00:26:32.9860",224,"Spruce St & Nassau St",40.71146364,-74.00552427,3574,"Prospect Pl & Underhill Ave",40.6769694,-73.96579,16214,"Subscriber",1980,1
389,"2020-03-01 00:00:16.7560","2020-03-01 00:06:46.0620",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,29994,"Subscriber",1991,2
614,"2020-03-01 00:00:20.0580","2020-03-01 00:10:34.2200",379,"W 31 St & 7 Ave",40.749156,-73.9916,515,"W 43 St & 10 Ave",40.76009437,-73.99461843,39853,"Subscriber",1991,1
597,"2020-03-01 00:00:24.3510","2020-03-01 00:10:22.3390",3739,"Perry St & Greenwich Ave",40.735918,-74.000939,325,"E 19 St & 3 Ave",40.73624527,-73.98473765,42608,"Subscriber",1989,1
1920,"2020-03-01 00:00:26.1120","2020-03-01 00:32:26.2680",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,3124,"46 Ave & 5 St",40.74731,-73.95451,36288,"Subscriber",1993,1
2055,"2020-03-01 00:00:46.1010","2020-03-01 00:35:01.2880",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,497,"E 17 St & Broadway",40.73704984,-73.99009296,31313,"Subscriber",1985,1
764,"2020-03-01 00:01:04.6650","2020-03-01 00:13:49.0300",83,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,3579,"Sterling Pl & Bedford Ave",40.672695,-73.954131,31216,"Subscriber",1980,2
1719,"2020-03-01 00:01:04.9250","2020-03-01 00:29:44.0140",3809,"W 55 St & 6 Ave",40.763189,-73.978434,3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,27715,"Subscriber",1968,2
441,"2020-03-01 00:01:09.3050","2020-03-01 00:08:30.8670",3463,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,42015,"Subscriber",1970,1
601,"2020-03-01 00:01:09.4420","2020-03-01 00:11:11.2240",406,"Hicks St & Montague St",40.69512845,-73.99595065,421,"Clermont Ave & Park Ave",40.69573398,-73.97129668,27592,"Subscriber",1985,1
427,"2020-03-01 00:01:25.5680","2020-03-01 00:08:33.4110",3463,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,40839,"Subscriber",1968,2
585,"2020-03-01 00:01:29.2330","2020-03-01 00:11:14.8670",302,"Avenue D & E 3 St",40.72082834,-73.97793172,531,"Forsyth St & Broome St",40.71893904,-73.99266288,40610,"Subscriber",1988,1
237,"2020-03-01 00:01:33.0530","2020-03-01 00:05:30.1150",3508,"St Nicholas Ave & Manhattan Ave",40.809725,-73.953149,3630,"Frederick Douglass Blvd & W 115 St",40.8038654,-73.9559308,28501,"Subscriber",1993,1
410,"2020-03-01 00:01:34.2490","2020-03-01 00:08:24.7450",410,"Suffolk St & Stanton St",40.72066442,-73.98517977,361,"Allen St & Hester St",40.71605866,-73.99190759,40225,"Customer",1989,1
1417,"2020-03-01 00:01:49.9970","2020-03-01 00:25:27.4000",297,"E 15 St & 3 Ave",40.734232,-73.986923,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,36937,"Customer",1999,1
388,"2020-03-01 00:01:56.1560","2020-03-01 00:08:25.0660",3309,"E 97 St & 3 Ave",40.7859201,-73.94860294,3496,"1 Ave & E 110 St",40.7923272,-73.9383,33159,"Subscriber",1973,1
157,"2020-03-01 00:02:17.7190","2020-03-01 00:04:55.5320",237,"E 11 St & 2 Ave",40.73047309,-73.98672378,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,29915,"Subscriber",2000,0
1920,"2020-03-01 00:02:21.5790","2020-03-01 00:34:22.0370",447,"8 Ave & W 52 St",40.76370739,-73.9851615,500,"Broadway & W 51 St",40.76228826,-73.98336183,39441,"Subscriber",1980,1
